MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
309_11,0.093286,0.113655,0.556605,0.305645,0.285176,0.349378,0.512816,0.062174,0.374652,0.156507,0.091301,0.539703,0.665535,0.534461,0.292398,0.148601,0.411329,0.476547,0.745721,0.43222,0.101604,0.401034,0.40109,0.171026,0.255768,0.464579,0.644979,0.430709,0.543755,0.314953,0.461425,0.323275,0.078348,0.477274,0.17613,0.549417,0.514257,0.247451,0.430922,0.349703,0.387851,0.348661,0.382904,0.133484,0.238037,0.478459,0.468572,0.184239,0.209719,0.183963,0.065296,0.343998,0.660343,0.296224,0.257675,0.31213,0.058765,0.263536,0.565338,0.132488,0.240043,0.18278,0.273238,0.392069,0.163484,0.16546,0.422632,0.172417,0.411606,0.299172,0.296224,0.26787,0.253109,0.180281,0.309867,0.292416,0.665497,Control,Memantine,C/S,c-CS-m
309_12,0.092292,0.107773,0.628157,0.278571,0.25635,0.321758,0.554556,0.053685,0.400196,0.129663,0.087208,0.510017,0.60155,0.517497,0.267477,0.143682,0.391557,0.450351,0.714212,0.434301,0.090088,0.352974,0.409104,0.158286,0.240239,0.454174,0.578263,0.500025,0.519479,0.268971,0.333658,0.295728,0.070542,0.436853,0.151169,0.521437,0.491037,0.210479,0.407141,0.326363,0.374784,0.303481,0.371174,0.122376,0.247744,0.523222,0.504055,0.197534,0.22691,0.218124,0.076001,0.322598,0.602985,0.340578,0.325772,0.378983,0.062689,0.23006,0.568928,0.147574,0.282384,0.17887,0.259588,0.423163,0.146873,0.140298,0.412588,0.192421,0.402697,0.299172,0.340578,0.232874,0.36683,0.175711,0.338322,0.300343,0.736398,Control,Memantine,C/S,c-CS-m
309_13,0.092595,0.10043,0.516673,0.253571,0.238999,0.352369,0.493152,0.02691,0.300959,0.16261,0.094422,0.498571,0.527884,0.496533,0.245469,0.120315,0.381902,0.469155,0.658042,0.385103,0.121173,0.339109,0.415944,0.161322,0.195222,0.429283,0.667407,0.405721,0.515624,0.290042,0.329272,0.241323,0.06357,0.47366,0.206677,0.546604,0.489858,0.267146,0.426601,0.315047,0.414642,0.472461,0.333629,0.044301,0.183693,0.440029,0.468969,0.154876,0.16563,0.206364,0.060644,0.353491,0.609842,0.332238,0.216994,0.312201,0.041795,0.31797,0.510388,0.149452,0.183976,0.297026,0.230092,0.331706,0.380735,0.215059,0.370551,0.234393,0.578032,0.299172,0.332238,0.242619,0.362713,0.221658,0.514751,0.359807,0.544579,Control,Memantine,C/S,c-CS-m
309_14,0.099781,0.102047,0.512515,0.258807,0.238954,0.341654,0.491958,0.026961,0.346488,0.139089,0.091907,0.526044,0.597655,0.513606,0.281042,0.121695,0.369721,0.448455,0.701101,0.411579,0.100258,0.359545,0.49017,0.13722,0.202818,0.424485,0.567574,0.408356,0.473759,0.288142,0.331681,0.249724,0.074195,0.474942,0.202451,0.545203,0.484452,0.23356,0.394892,0.322775,0.383121,0.34263,0.332353,0.082086,0.19991,0.4626,0.493607,0.161304,0.18017,0.199145,0.059622,0.348435,0.604519,0.299342,0.388065,0.339583,0.041557,0.296286,0.607602,0.136831,0.216946,0.188602,0.251311,0.350727,0.192557,0.200788,0.407202,0.169246,0.556134,0.299172,0.299342,0.231421,0.326446,0.247571,0.431284,0.395679,0.591968,Control,Memantine,C/S,c-CS-m
309_15,0.096617,0.092035,0.600683,0.21853,0.229738,0.333272,0.479863,0.016379,0.328846,0.122089,0.081296,0.485057,0.475308,0.555122,0.215495,0.114252,0.353596,0.436303,0.665655,0.398787,0.10451,0.392347,0.341804,0.126576,0.185264,0.419325,0.540771,0.354757,0.446718,0.257682,0.304598,0.22592,0.066341,0.391513,0.185312,0.511774,0.478095,0.204596,0.370276,0.27863,0.426658,0.271073,0.327929,0.024076,0.211285,0.398447,0.488892,0.164496,0.201565,0.186233,0.06409,0.333917,0.598446,0.348507,0.277978,0.323768,0.045054,0.253847,0.573077,0.13863,0.248502,0.17709,0.22972,0.334171,0.155185,0.167236,0.364737,0.187582,0.493773,0.299172,0.348507,0.235923,0.375149,0.20224,0.479708,0.392242,0.665723,Control,Memantine,C/S,c-CS-m
311_1,0.252122,0.261865,0.68737,0.578919,0.64196,0.327466,0.479384,0.15253,0.422121,0.343133,0.272828,0.687162,0.680205,0.604732,0.502166,0.450457,0.658956,0.458458,0.524705,0.708608,0.197896,0.463917,0.301015,0.430992,0.732999,0.564645,0.662223,0.523655,0.736517,0.3093,0.468472,0.583467,0.102697,0.664741,0.206821,0.736498,0.842694,0.662779,0.592547,0.758181,0.6408,0.637594,0.094148,0.419131,0.422517,0.596226,0.123584,0.163827,0.236728,0.406815,0.045046,0.42743,0.710347,0.780396,0.269122,0.361383,0.170401,0.398887,0.556229,0.129191,0.117334,0.110227,0.158238,0.28546,0.234339,0.372625,0.155591,0.111675,0.259259,0.541595,0.780396,0.266694,0.362335,0.124764,0.234173,0.19931,0.46053,Control,Memantine,C/S,c-CS-m
311_2,0.238778,0.238279,0.618907,0.501093,0.571983,0.285687,0.402859,0.126602,0.319885,0.28525,0.271184,0.634104,0.547724,0.482048,0.434255,0.394391,0.599497,0.383924,0.48927,0.667491,0.206799,0.386943,0.240063,0.369093,0.629698,0.534619,0.587209,0.417575,0.675832,0.259178,0.387922,0.505987,0.087561,0.587076,0.189304,0.679888,0.668572,0.532069,0.525327,0.649601,0.511985,0.505702,0.085506,0.351713,0.411255,0.608091,0.131008,0.153369,0.361818,0.309095,0.038466,0.407727,0.707883,0.482087,0.313439,0.30374,0.173637,0.393951,0.557466,0.122708,0.147953,0.117275,0.163778,0.291739,0.176516,0.318364,0.170369,0.099844,0.226049,0.347977,0.482087,0.266694,0.3907,0.093281,0.224648,0.180763,0.503275,Control,Memantine,C/S,c-CS-m
311_3,0.235891,0.236363,0.615032,0.468476,0.564989,0.298618,0.399234,0.124718,0.302888,0.265622,0.268171,0.622136,0.533271,0.464689,0.434152,0.407674,0.600887,0.38229,0.526765,0.669116,0.19313,0.400662,0.252392,0.367737,0.627825,0.527877,0.57733,0.476853,0.673547,0.23931,0.397795,0.503045,0.082151,0.609816,0.171329,0.693415,0.598891,0.486863,0.504979,0.609839,0.481227,0.467945,0.062189,0.329629,0.405447,0.631371,0.135357,0.156933,0.391036,0.322019,0.032579,0.364583,0.677539,0.489455,0.36543,0.327001,0.176872,0.372133,0.541131,0.122856,0.172189,0.127408,0.17011,0.350369,0.224487,0.25626,0.21756,0.090798,0.22106,0.288803,0.489455,0.266694,0.391013,0.07848,0.204557,0.181843,0.530031,Control,Memantine,C/S,c-CS-m
311_4,0.224388,0.22266,0.63149,0.507824,0.480007,0.34646,0.483968,0.149516,0.404071,0.305897,0.242416,0.693725,0.656427,0.518488,0.435049,0.39703,0.581874,0.435906,0.559661,0.643971,0.189396,0.511158,0.348395,0.343454,0.585931,0.514068,0.670591,0.507402,0.657448,0.323639,0.456413,0.46885,0.109458,0.67229,0.25041,0.741045,0.81331,0.584143,0.565766,0.700777,0.618377,0.621488,0.102014,0.439916,0.408943,0.587072,0.128643,0.173028,0.220726,0.327694,0.046165,0.432844,0.685381,0.483673,0.344045,0.31874,0.169275,0.349348,0.523742,0.099349,0.13117,0.093988,0.170542,0.25728,0.311684,0.29643,0.162378,0.196555,0.358165,0.562537,0.483673,0.266694,0.399075,0.192464,0.292432,0.301016,0.378121,Control,Memantine,C/S,c-CS-m
311_5,0.188207,0.183858,0.516517,0.343393,0.381971,0.278575,0.3836,0.103216,0.253835,0.235681,0.20173,0.576029,0.468551,0.432042,0.295589,0.293716,0.48221,0.306881,0.526224,0.543972,0.1728,0.337379,0.216336,0.248409,0.44585,0.442417,0.537887,0.343096,0.542164,0.21833,0.324248,0.342639,0.066402,0.505693,0.173012,0.624281,0.590853,0.38605,0.457025,0.542801,0.429748,0.407212,0.073886,0.256692,0.385768,0.612715,0.136393,0.156055,0.321811,0.280243,0.033856,0.396319,0.652927,0.364223,0.244389,0.379537,0.162629,0.440795,0.568261,0.116774,0.132777,0.089761,0.143627,0.269731,0.274513,0.235671,0.172665,0.15955,0.417293,0.4596,0.364223,0.266694,0.332163,0.117992,0.264379,0.218478,0.444827,Control,Memantine,C/S,c-CS-m
311_6,0.199571,0.199938,0.535421,0.393565,0.420109,0.301989,0.42508,0.127947,0.319199,0.235435,0.211332,0.616994,0.516162,0.478711,0.364755,0.341732,0.521017,0.335093,0.553665,0.583849,0.181265,0.444,0.290769,0.271497,0.49077,0.473497,0.550842,0.403721,0.606939,0.250754,0.368727,0.383865,0.088755,0.592512,0.202709,0.693888,0.60698,0.400963,0.492373,0.554995,0.443946,0.436836,0.082755,0.245437,0.384514,0.562177,0.144343,0.12571,0.335257,0.290647,0.026603,0.371915,0.65022,0.474656,0.306871,0.294715,0.195845,0.355235,0.5168,0.109145,0.169779,0.086991,0.143745,0.26688,0.202083,0.258674,0.199504,0.117114,0.284897,0.345128,0.474656,0.266694,0.360966,0.093405,0.25794,0.186317,0.449331,Control,Memantine,C/S,c-CS-m
311_7,0.235037,0.192687,0.713572,0.456054,0.402029,0.410379,0.525551,0.122067,0.358273,0.306522,0.215711,0.659753,0.697259,0.658871,0.44122,0.363519,0.559038,0.442474,0.585764,0.633668,0.175011,0.495701,0.404924,0.276893,0.517241,0.480274,0.668945,0.446233,0.605528,0.407311,0.476452,0.37085,0.112615,0.747848,0.294327,0.775636,0.884601,0.587964,0.597131,0.718871,0.719599,0.648621,0.150263,0.278413,0.344342,0.597902,0.127834,0.160471,0.163533,0.28668,0.043026,0.423319,0.717615,0.411429,0.321744,0.272534,0.140139,0.346279,0.405389,0.075999,0.137346,0.12714,0.151995,0.213345,0.334484,0.372839,0.162027,0.190116,0.410793,0.672592,0.411429,0.266694,0.296869,0.170806,0.429355,0.442529,0.383441,Control,Memantine,C/S,c-CS-m
311_8,0.191284,0.188738,0.614151,0.402809,0.369439,0.332603,0.486365,0.114619,0.330265,0.262677,0.205206,0.666801,0.630045,0.55428,0.385283,0.330073,0.527878,0.380361,0.579628,0.607484,0.165458,0.441063,0.342492,0.266575,0.488665,0.477577,0.636712,0.436425,0.586,0.376785,0.441967,0.356902,0.099245,0.693067,0.280897,0.74857,0.742095,0.464608,0.548989,0.670249,0.659852,0.653505,0.124326,0.211285,0.31771,0.587972,0.13099,0.159928,0.278539,0.22863,0.031297,0.409255,0.648047,0.492905,0.438373,0.315879,0.124018,0.453488,0.473843,0.081509,0.107513,0.125104,0.120715,0.242771,0.31563,0.32097,0.181898,0.180121,0.408314,0.540147,0.492905,0.266694,0.424965,0.168763,0.504173,0.305272,0.410473,Control,Memantine,C/S,c-CS-m
311_9,0.175678,0.168215,0.506067,0.340734,0.338495,0.321956,0.433687,0.097528,0.28569,0.228525,0.196943,0.601035,0.482274,0.4489,0.324218,0.295381,0.484697,0.312607,0.55567,0.555549,0.125607,0.377528,0.255134,0.22678,0.411269,0.440465,0.528182,0.3636,0.52565,0.302594,0.359594,0.304587,0.085022,0.639915,0.220543,0.699584,0.628473,0.379513,0.486505,0.528523,0.467216,0.435898,0.097745,0.173627,0.279671,0.567751,0.121795,0.155819,0.262598,0.225495,0.023809,0.368544,0.559933,0.397299,0.194308,0.283632,0.113656,0.340092,0.479599,0.099658,0.136082,0.100573,0.119365,0.225275,0.264046,0.199627,0.16995,0.128541,0.346688,0.441147,0.397299,0.266694,0.37058,0.136882,0.330436,0.261954,0.427426,Control,Memantine,C/S,c-CS-m
311_10,0.171083,0.13405,0.538437,0.357275,0.27003,0.366811,0.515946,0.071866,0.337989,0.246704,0.164677,0.639302,0.584737,0.529388,0.355139,0.29463,0.463638,0.331248,0.538182,0.533584,0.163674,0.435466,0.385158,0.19786,0.359735,0.405609,0.644255,0.415125,0.509507,0.364935,0.355818,0.248046,0.11035,0.783811,0.354977,0.756748,0.897585,0.564289,0.544654,0.685862,0.742126,0.638733,0.188186,0.238433,0.331614,0.59247,0.138074,0.138163,0.175281,0.24295,0.049206,0.462554,0.573682,0.4045,0.301829,0.277657,0.134284,0.106974,0.372621,0.065279,0.19281,0.16017,0.111135,0.220595,0.414341,0.352147,0.159179,0.311447,0.543733,0.654163,0.4045,0.266694,0.342706,0.227761,0.482363,0.420795,0.318148,Control,Memantine,C/S,c-CS-m
311_11,0.165786,0.193656,0.704919,0.474411,0.351692,0.472415,0.629046,0.120723,0.461196,0.270251,0.201877,0.794606,0.796097,0.722086,0.478405,0.369198,0.552866,0.386571,0.677595,0.606495,0.178117,0.571194,0.619605,0.257531,0.427448,0.500625,0.734119,0.594577,0.61759,0.563287,0.56756,0.353251,0.139434,0.947117,0.470267,0.906303,0.925784,0.68363,0.698196,0.845974,0.932461,0.741465,0.261422,0.161704,0.301389,0.610363,0.118666,0.125361,0.232531,0.182199,0.030464,0.386774,0.55453,0.335828,0.233485,0.295927,0.117947,0.370256,0.370177,0.071441,0.214435,0.201489,0.102831,0.20829,0.410275,0.277098,0.127028,0.105027,0.69242,0.494202,0.335828,0.266694,0.294681,0.220356,0.43675,0.336267,0.361495,Control,Memantine,C/S,c-CS-m
311_12,0.158496,0.143251,0.495047,0.297751,0.243707,0.396005,0.495741,0.074666,0.337258,0.191516,0.171128,0.601509,0.482137,0.587019,0.302297,0.271161,0.43367,0.260275,0.556835,0.487763,0.151809,0.408375,0.390234,0.179278,0.312237,0.41558,0.57982,0.373621,0.489908,0.385532,0.401866,0.223964,0.102553,0.738167,0.327573,0.717718,0.679641,0.449803,0.518051,0.595734,0.648535,0.496681,0.169503,0.174906,0.297096,0.607005,0.129191,0.109972,0.265309,0.197501,0.023897,0.37624,0.485463,0.468061,0.297227,0.310802,0.12849,0.403226,0.424758,0.068619,0.201587,0.157484,0.110875,0.226576,0.36081,0.241164,0.176893,0.128447,0.47211,0.486487,0.468061,0.266694,0.260962,0.171308,0.640655,0.455021,0.422454,Control,Memantine,C/S,c-CS-m
311_13,0.144681,0.125027,0.461095,0.240057,0.168433,0.319844,0.578934,0.01159,0.256793,0.221729,0.15701,0.564896,0.418454,0.464751,0.25628,0.239008,0.380273,0.27762,0.487628,0.473188,0.143923,0.329576,0.362041,0.134137,0.242842,0.353056,0.561649,0.338786,0.3615,0.352876,0.32681,0.112413,0.100063,0.764127,0.324613,0.688314,0.882647,0.54894,0.554722,0.661151,0.87534,0.643745,0.19944,0.194983,0.27003,0.516252,0.108962,0.091554,0.057624,0.090761,0.046965,0.40561,0.495242,0.089522,0.124459,0.040878,0.091735,0.244906,0.234382,0.039066,0.146621,0.159292,0.053457,0.117531,0.455517,0.307586,0.068584,0.345782,0.557255,0.650499,0.089522,0.266694,0.304654,0.19017,0.458614,0.531763,0.255901,Control,Memantine,C/S,c-CS-m
311_14,0.155851,0.135508,0.525878,0.258028,0.18403,0.393843,0.438902,0.023424,0.254993,0.219822,0.157131,0.562279,0.483559,0.526436,0.291859,0.242745,0.396344,0.25874,0.628923,0.494312,0.132127,0.354928,0.379801,0.143998,0.239299,0.348443,0.557688,0.378568,0.391754,0.406301,0.387302,0.148516,0.115489,0.810454,0.39967,0.747325,0.847359,0.57734,0.570232,0.648331,0.785313,0.584465,0.209681,0.090214,0.254824,0.524613,0.091595,0.069123,0.147955,0.084845,0.026992,0.394963,0.475175,0.264578,0.193446,0.228679,0.093173,0.388051,0.308983,0.057871,0.096576,0.109408,0.065345,0.11832,0.501921,0.243687,0.067804,0.130492,0.442224,0.447886,0.264578,0.266694,0.298611,0.172504,0.429876,0.371124,0.264318,Control,Memantine,C/S,c-CS-m
311_15,0.143301,0.131937,0.450468,0.231306,0.164487,0.335857,0.448696,0.019341,0.295089,0.195082,0.159969,0.518197,0.389125,0.587401,0.250706,0.221948,0.373158,0.223826,0.547833,0.451396,0.139382,0.365268,0.376134,0.141932,0.224375,0.354858,0.522078,0.338895,0.365463,0.395295,0.329712,0.11247,0.087071,0.768222,0.369447,0.735998,0.690815,0.514832,0.546167,0.614419,0.704361,0.530932,0.196144,0.123181,0.21163,0.547603,0.104802,0.099259,0.157462,0.120176,0.020393,0.387203,0.441637,0.283271,0.229397,0.177902,0.0793,0.332743,0.278676,0.061615,0.172632,0.11862,0.096342,0.130893,0.371475,0.22618,0.100472,0.092306,0.400443,0.39063,0.283271,0.266694,0.204477,0.15894,0.444404,0.341215,0.287997,Control,Memantine,C/S,c-CS-m
320_1,0.203394,0.300695,0.868575,0.659255,0.619346,0.283012,0.480416,0.068809,0.617493,0.242611,0.25564,0.671983,0.555139,0.471469,0.642083,0.642841,0.754382,0.415431,0.479194,0.86255,0.196356,0.502877,0.302052,0.828593,0.863626,0.594632,0.659793,0.653501,0.858016,0.306709,0.522144,0.633498,0.085174,0.707525,0.220747,0.660335,0.643433,0.657408,0.666339,0.679458,0.524119,0.59722,0.083557,0.659083,0.658527,0.474682,0.002529,0.274168,0.789251,0.707274,0.058798,0.315115,0.773313,0.890982,0.788869,0.745445,0.508329,0.260694,0.498141,0.1123,0.474383,0.40724,0.539866,0.60731,0.304315,0.374565,0.408652,0.274639,0.201823,0.222165,0.890982,0.207267,0.564144,0.10494,0.206014,0.332097,0.689105,Control,Memantine,C/S,c-CS-m
